Filename                                                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Sources/TailwindSwiftUI/Utils/Extensions/LinearGradient+Extensions.swift                  37                37     0.00%           9                 9     0.00%         109               109     0.00%           0                 0         -
Sources/TailwindSwiftUI/Utils/Extensions/Shape+Tailwind.swift                             69                67     2.90%          19                17    10.53%         172               166     3.49%           0                 0         -
Sources/TailwindSwiftUI/Utils/Extensions/View+AdvancedUtilities.swift                     80                80     0.00%          71                71     0.00%         186               186     0.00%           0                 0         -
Sources/TailwindSwiftUI/Utils/Extensions/View+BorderBackgroundUtilities.swift             56                56     0.00%          56                56     0.00%         182               182     0.00%           0                 0         -
Sources/TailwindSwiftUI/Utils/Extensions/View+DisplayUtilities.swift                      45                45     0.00%          39                39     0.00%          89                89     0.00%           0                 0         -
Sources/TailwindSwiftUI/Utils/Extensions/View+GridFlexUtilities.swift                     59                59     0.00%          49                49     0.00%         123               123     0.00%           0                 0         -
Sources/TailwindSwiftUI/Utils/Extensions/View+StaticUtilities.swift                      114               114     0.00%         114               114     0.00%         120               120     0.00%           0                 0         -
Sources/TailwindSwiftUI/Utils/Extensions/View+TailwindModifiers.swift                    134               115    14.18%          71                69     2.82%         297               272     8.42%           0                 0         -
Sources/TailwindSwiftUI/Utils/Extensions/View+TransformEffects.swift                      60                60     0.00%          51                51     0.00%         112               112     0.00%           0                 0         -
Sources/TailwindSwiftUI/Utils/TWStack.swift                                               18                17     5.56%          10                 9    10.00%          39                34    12.82%           0                 0         -
Sources/TailwindSwiftUI/Utils/TailwindNativeWindCompatNoOp.swift                         113               113     0.00%           6                 6     0.00%          74                74     0.00%           0                 0         -
Sources/TailwindSwiftUI/Utils/TailwindNativeWindParity.swift                              48                48     0.00%          14                14     0.00%          86                86     0.00%           0                 0         -
Sources/TailwindSwiftUI/Utils/TailwindPositionEnvironment.swift                            2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
Sources/TailwindSwiftUI/Utils/TailwindShapePaintEnvironment.swift                          6                 6     0.00%           6                 6     0.00%           6                 6     0.00%           0                 0         -
Tests/TailwindLinterTests/Validation/TailwindClassCatalogTests.swift                       3                 0   100.00%           3                 0   100.00%          18                 0   100.00%           0                 0         -
Tests/TailwindLinterTests/Validation/TailwindClassParsingTests.swift                       2                 0   100.00%           2                 0   100.00%          11                 0   100.00%           0                 0         -
Tests/TailwindLinterTests/Validation/TailwindColorVariableValidationTests.swift            3                 0   100.00%           3                 0   100.00%          14                 0   100.00%           0                 0         -
Tests/TailwindLinterTests/Validation/TailwindConflictValidationTests.swift                 3                 0   100.00%           3                 0   100.00%          15                 0   100.00%           0                 0         -
Tests/TailwindLinterTests/Validation/TailwindValidationMessagesTests.swift                 3                 0   100.00%           3                 0   100.00%          14                 0   100.00%           0                 0         -
Tests/TailwindLinterTests/Validation/TailwindVariantValidationTests.swift                  3                 0   100.00%           3                 0   100.00%          15                 0   100.00%           0                 0         -
Tests/TailwindMacroTests/Expansion/TailwindMacroExpansionTests.swift                      37                 0   100.00%          37                 0   100.00%         313                 0   100.00%           0                 0         -
Tests/TailwindSwiftUITests/Core/TailwindValidationTests.swift                              9                 0   100.00%           5                 0   100.00%          29                 0   100.00%           0                 0         -
Tests/TailwindSwiftUITests/Integration/RuntimeInitializationTests.swift                    1                 0   100.00%           1                 0   100.00%          14                 0   100.00%           0                 0         -
Tests/TailwindSwiftUITests/LayoutViews/TWStackTests.swift                                  4                 0   100.00%           4                 0   100.00%          20                 0   100.00%           0                 0         -
Tests/TailwindSwiftUITests/Parser/TailwindParserUnitTests.swift                            3                 0   100.00%           3                 0   100.00%          11                 0   100.00%           0                 0         -
Tests/TailwindSwiftUITests/Presets/ColorPresetTests.swift                                  3                 0   100.00%           3                 0   100.00%          20                 0   100.00%           0                 0         -
Tests/TailwindSwiftUITests/Presets/SpacingPresetTests.swift                                2                 0   100.00%           2                 0   100.00%          15                 0   100.00%           0                 0         -
Tests/TailwindSwiftUITests/Utils/RadiusShadowTests.swift                                   2                 0   100.00%           2                 0   100.00%          19                 0   100.00%           0                 0         -
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                   4682              4017    14.20%        1439              1157    19.60%        8092              6419    20.67%           0                 0         -
